AreaID;AreaCode;SiteName;Country;State/Province;Latitude;Longitude;Lat10;Long10;Altitude;Alt SRTM;Domain;DomN;EcoUnit;FitGeoN;Asp Ocean;Thermic realm;Elevation range;Zonal Azonal;Climatic regime;Leaf flush;Vegetation physiognomy;Vegetation type;CdVg;Main vegetation type;TempCorrection;PrecipCorrection;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;WaterExcDur;WaterExcSev;HyperSeas;DaysFrost;CloudItcp;Grassy Cover;Surface Rockiness;Ranked Rockiness;Soil Texture Class;Ranked Sand;Soil Drainage Class;Ranked Drainage;Soil Water Storage;Soil Fertility Class;Ranked TBS;Salinity Class;Ranked Salinity
7131;MsaCL075;Remedios, Cerro El Osito, bosque pluvial del piedemonte andino;Colombia;Antioquia;07°02’24”N;74°29’40”W;7.04;-74.4944;869;528;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-1.7;1.08;24;9.6;88;51;29.6;18.7;10.9;3296;449;73;46;0;0;325;27;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
6064;MsaCL076;Piedecuesta, Mesa de Los Santos, bosque pluvial del piedemonte andino;Colombia;Santander;06°56’27”N;73°01’49”W;6.9408;-73.0303;1093;1013;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23;8.5;93;28;27.6;18.5;9.1;1349;173;76;29;0;0;210;76;0;0;90;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Mesotrophic (25-50% TBS);37;No salinity;0
7132;MsaCL077;Embalse Porce II, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°47’27”N;75°07’23”W;6.7908;-75.1231;1010;970;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.1;10.1;86;45;28.9;17.2;11.7;2926;370;69;46;0;0;295;37;0;0;185;0;Absent to Low (0-10% exposed rock);5;Sandy clay (50-60% sand);85;Well;35;45;Dystrophic (10-25% TBS);17;No salinity;0
7133;MsaCL078;Murri, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°44’39”N;76°21’36”W;6.7442;-76.36;915;929;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.2;10.5;84;39;29.8;17.3;12.5;2937;367;99;35;0;0;355;1;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7134;MsaCL079;Yolombo, Valle del Nus, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°32’59”N;75°00’42”W;6.5497;-75.0117;1067;1276;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;1;1;22.8;9.6;89;34;28.2;17.4;10.8;2791;382;80;45;0;0;310;34;0;0;186;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7136;MsaCL080;Urrao, Rio Nendo, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°22’16”N;76°19’45”W;6.3711;-76.3292;973;1168;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;1;1;23.1;10.8;86;36;29.8;17.2;12.6;3611;411;165;28;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7137;MsaCL081;Embalse Punchina, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°14’12”N;74°53’24”W;6.2367;-74.89;874;931;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.5;9.8;91;38;29;18.2;10.8;2936;429;95;41;0;0;350;5;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7208;MsaCL082;Landazuri, bosque pluvial del piedemonte andino;Colombia;Santander;06°12’54”N;73°49’25”W;6.215;-73.8236;794;851;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.8;9.2;88;31;29.2;18.8;10.4;3082;468;127;38;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7138;MsaCL083;San Luis, El Brasil, bosque pluvial del piedemonte andino;Colombia;Antioquia;06°04’29”N;74°59’11”W;6.0747;-74.9864;952;1010;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.1;9.9;90;37;28.7;17.7;11;3381;496;117;39;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7140;MsaCL084;San Francisco, Rio Verde, bosque pluvial del piedemonte andino;Colombia;Antioquia;05°57’05”N;75°06’49”W;5.9514;-75.1136;810;915;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0.5;1;24.1;10.2;90;37;30;18.7;11.3;3117;450;116;38;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7211;MsaCL085;Serrania de Las Quinchas, Puerto Pinzon, bosque pluvial del piedemonte andino;Colombia;Santander/Boyaca;05°56’35”N;74°12’41”W;5.9431;-74.2114;797;565;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-1.2;1.06;24.3;9.5;90;31;29.8;19.2;10.6;2725;394;95;40;0;0;350;5;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
7317;MsaCL086;Via Quibdo a Bolivar, bosque pluvial del piedemonte andino;Colombia;Choco;05°48’35”N;76°14’07”W;5.8097;-76.2353;1022;1162;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0.7;1;22.6;11.2;90;33;29.1;16.6;12.5;5692;564;314;19;0;0;360;0;0;0;364;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7212;MsaCL087;Serrania de Las Quinchas, El Humbo, bosque pluvial del piedemonte andino;Colombia;Boyaca;05°37’14”N;74°15’22”W;5.6206;-74.2561;809;836;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.6;9.2;88;44;29.1;18.6;10.5;2710;380;107;38;0;0;360;0;0;0;174;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
7210;MsaCL088;Coper, bosque pluvial del piedemonte andino;Colombia;Boyaca;05°28’50”N;74°05’18”W;5.4806;-74.0883;876;1308;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;2.2;1;23.8;9.1;90;40;28.9;18.8;10.1;2500;329;108;37;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7253;MsaCL089;Yacopi, San Antonio, bosque pluvial del piedemonte andino;Colombia;Cundinamarca;05°28’05”N;74°21’54”W;5.4681;-74.365;897;831;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.8;9.1;90;40;28.9;18.8;10.1;2500;329;108;37;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7263;MsaCL091;La Victoria, bosque pluvial del piedemonte andino;Colombia;Caldas/Tolima;05°19’30”N;74°55’19”W;5.325;-74.9219;923;916;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23.4;9.7;90;36;29.1;18.3;10.8;3454;499;149;39;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7337;MsaCL090;Pueblo Rico, Alto San Juan Choco, bosque pluvial del piedemonte andino;Colombia;Risaralda;05°16’12”N;76°03’39”W;5.3103;-77.2081;985;957;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;23;11;91;29;29.2;17.1;12.1;2977;357;179;24;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
7264;MsaCL092;Falan, bosque pluvial del piedemonte andino;Colombia;Tolima;05°05’35”N;74°56’29”W;5.0931;-74.9414;864;783;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;24.3;9.9;88;36;30.3;19.1;11.2;2463;357;107;40;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Sandy clay (50-60% sand);85;Well;35;45;Dystrophic (10-25% TBS);17;No salinity;0
7266;MsaCL093;Villeta, bosque pluvial del piedemonte andino;Colombia;Cundinamarca;05°00’56”N;74°27’23”W;5.0156;-74.4564;863;1055;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;1;1;24;9.5;90;33;29.4;18.9;10.5;1717;239;54;42;0;0;285;83;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7322;MsaCL094;Cerro Torra, bosque pluvial del piedemonte andino;Colombia;Choco;04°48’18”N;76°27’24”W;4.805;-76.4567;838;700;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-0.7;1.03;22.9;10.5;92;26;28.6;17.2;11.4;3805;486;200;27;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7338;MsaCL095;Cañon del Alto Calima, bosque pluvial del piedemonte andino;Colombia;Valle del Cauca;03°54’08”N;76°37’40”W;3.9022;-76.6278;854;1285;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;2;1;23.3;10.6;91;30;29.2;17.6;11.6;1224;174;65;38;0;0;150;170;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
7370;MsaCL096;Parque Munchique, Piendamo, bosque pluvial del piedemonte andino;Colombia;Cauca;02°39’04”N;76°59’38”W;2.6511;-76.9939;1072;1415;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;1.7;1;22.1;11;84;26;28.9;15.8;13.1;3115;405;107;37;0;0;360;0;0;0;209;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7384;MsaCL097;El Plateado, bosque pluvial del piedemonte andino;Colombia;Cauca;02°27’35”N;77°13’09”W;2.4597;-77.2192;1044;883;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-0.8;1.03;22.7;10.9;82;32;29.6;16.3;13.3;3588;458;124;35;0;0;360;0;0;0;234;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Well;35;55;Dystrophic (10-25% TBS);17;No salinity;0
7371;MsaCL098;Reserva del Rio Ñambi, El Barro, bosque pluvial del piedemonte andino;Colombia;Nariño;01°19’51”N;78°08’30”W;1.3308;-78.1417;1030;1005;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;21.4;8.6;91;21;26.2;16.8;9.4;5489;570;308;16;0;0;360;0;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loam (40-50% sand);45;Somewhat Excessively;20;48;Dystrophic (10-25% TBS);17;No salinity;0
3644;MsaEC059;Rio Baboso, bosque pluvial del piedemonte andino;Ecuador;Carchi;00°53’59”N;78°26’00”W;0.8997;-78.4333;830;866;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;21.8;8.6;90;28;26.7;17.1;9.6;3202;353;113;29;0;0;360;2002;0;0;0;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Well;35;56;Dystrophic (10-25% TBS);17;No salinity;0
3548;MsaEC060;Cotacachi Cayapas, bosque pluvial del piedemonte andino;Ecuador;Esmeraldas;00°38’09”N;78°39’31”W;0.6358;-78.6586;1021;789;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-1.2;1.05;20.9;8.7;87;32;25.9;15.9;10;2470;306;69;40;0;0;300;1321;0;0;158;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Well;35;56;Dystrophic (10-25% TBS);17;No salinity;0
3547;MsaEC061;Centinela, bosque pluvial del piedemonte andino;Ecuador;Esmeraldas;00°36’28”N;78°49’29”W;0.6078;-78.8247;808;790;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;22;8.7;87;39;27.1;17.1;10;2381;311;69;45;0;0;295;1242;0;0;0;0;Absent to Low (0-10% exposed rock);5;Silty clay loam (20-30% sand);25;Well;35;60;Dystrophic (10-25% TBS);17;No salinity;0
3655;MsaEC062;San Miguel de Chontal, bosque pluvial del piedemonte andino;Ecuador;Imbabura;00°14’08”N;78°43’43”W;0.2356;-78.7286;1045;980;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;21;9.2;88;36;26.2;15.7;10.5;1910;272;42;56;0;0;245;864;0;0;125;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Well;35;56;Dystrophic (10-25% TBS);17;No salinity;0
3662;MsaEC063;Reserva Endesa, bosque pluvial del piedemonte andino;Ecuador;Pichincha;00°07’25”N;78°59’43”W;0.1236;-78.9953;851;664;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-0.9;1.04;21.6;8.5;82;55;26.9;16.5;10.4;3403;577;88;66;0;0;320;2218;0;0;0;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Well;35;56;Dystrophic (10-25% TBS);17;No salinity;0
3680;MsaEC064;Los Illinizas, bosque pluvial del piedemonte andino;Ecuador;Cotopaxi;00°42’25”S;79°03’55”W;-0.7069;-79.0653;1028;1103;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;19.6;8.1;84;37;24.3;14.6;9.7;2342;418;39;80;0;0;200;1376;0;0;150;0;Intermediate (10-30% exposed rock);20;Clay loam (30-40% sand);35;Well;35;54;Dystrophic (10-25% TBS);17;No salinity;0
3698;MsaEC065;Balzapamba, bosque pluvial del piedemonte andino;Ecuador;Bolivar;01°45’52”S;79°10’50”W;-1.7644;-79.1806;826;952;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0.6;1;21.2;8.7;83;56;26.1;15.6;10.5;1564;327;13;96;155;80;160;793;0;0;0;0;Intermediate (10-30% exposed rock);20;Clay loam (30-40% sand);35;Well;35;54;Dystrophic (10-25% TBS);17;No salinity;0
3704;MsaEC066;Cascajal, bosque pluvial del piedemonte andino;Ecuador;Chimborazo;02°11’07”S;79°02’54”W;-2.1853;-79.0483;898;864;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1;21.6;9.3;86;54;26.8;16;10.8;1824;340;32;79;45;10;185;910;0;0;0;0;Intermediate (10-30% exposed rock);20;Clay loam (30-40% sand);35;Well;35;54;Dystrophic (10-25% TBS);17;No salinity;0
3710;MsaEC067;Manta Real, bosque pluvial del piedemonte andino;Ecuador;Azuay;02°33’58”S;79°20’47”W;-2.5661;-79.3464;865;519;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;-1.7;1.08;21.7;9.3;81;64;27.5;16;11.5;1787;372;21;89;100;33;175;939;0;0;0;0;Intermediate (10-30% exposed rock);20;Silty clay loam (20-30% sand);25;Well;35;56;Dystrophic (10-25% TBS);17;No salinity;0
7413;MsaEC068;Zaruma, bosque pluvial del piedemonte andino;Ecuador;El Oro;03°40’36”S;79°35’43”W;-3.6767;-79.5961;990;1056;Mesoamerica;2;Andean Piedmont Mesoamerica;10;Windward;Equatorial;Andean foothill;(Zonal);Rain;Evergreen;Broadleaved Forest;Equatorial Andean foothill Rain Evergreen Broadleaved Forest;422;Rainforest;0;1.25;22.6;11.3;90;28;29.2;16.7;12.5;1568;270;38;73;70;16;175;305;20;0;0;0;Intermediate (10-30% exposed rock);20;Clay loam (30-40% sand);35;Well;35;54;Dystrophic (10-25% TBS);17;No salinity;0
7573;CarBH001;South Abaco, Sandy Point, coastal brackish mosaic;Bahamas;Great Abaco;26°01’15”N;77°23’43”W;26.0208;-77.3953;4;5;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;24.6;6.9;46;283;32;17;15;1192;191;43;52;10;5;175;274;23;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Low salinity (ECe ca. 0.3-0.4 ds/m);20
7574;CarUS001;Miami, Oleta River, coastal brackish mosaic;United States;Florida;25°55’20”N;80°08’14”W;25.9222;-80.1372;2;10;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;24.2;7.6;46;328;31.8;15.2;16.6;1387;210;53;49;0;0;190;209;0;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Low salinity (ECe ca. 0.3-0.4 ds/m);20
7575;CarUS002;Key Largo, Crocodile Lake, coastal brakish mosaic;United States;Florida;25°16’46”N;80°18’27”W;25.2794;-80.3075;1;6;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;24.3;7.9;48;318;31.9;15.4;16.5;1343;239;38;62;15;3;185;289;22;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Low salinity (ECe ca. 0.3-0.4 ds/m);20
7576;CarUS003;Long Key Bight, coastal brackish mosaic;United States;Florida;24°48’55”N;80°48’09”W;24.8153;-80.8025;1;3;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;24.6;7.9;48;311;32.1;15.8;16.3;1136;189;41;58;50;7;165;323;29;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Low salinity (ECe ca. 0.3-0.4 ds/m);20
7577;CarUS004;Key West Wildlife Refuge, coastal brackish mosaic;United States;Florida;24°31’49”N;82°00’07”W;24.5303;-82.0019;1;3;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;25.1;6.5;45;299;31.9;17.5;14.4;1042;162;45;47;35;5;150;301;29;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Low salinity (ECe ca. 0.3-0.4 ds/m);20
7578;CarBH002;Andros Island, Mangrove Cay, coastal brackish mosaic;Bahamas;Mangrove Cay;24°09’03”N;77°47’21”W;24.1508;-77.7892;7;5;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Brackish;Maritime;Evergreen;Broadleaved Dwarf-forest;Subtropical Coastal Brackish Maritime Evergreen Broadleaved Dwarf-forest;6;Coastal sandy mosaic;0;1;25.1;7.2;51;256;32.1;17.9;14.2;938;162;26;62;135;66;130;396;49;0;0;0;Absent to Low (0-10% exposed rock);5;Loamy sand (80-90% sand);85;Very Poorly;95;75;Mesotrophic (25-50% TBS);37;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
7592;CarUS005;Palm Beach, Delray Oaks, semideciduous forest;United States;Florida;26°25’40”N;80°05’37”W;26.4278;-80.0936;4;9;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Lowland;(Zonal);Seasonally cold;Semideciduous;Broadleaved Forest;Subtropical Lowland Seasonally cold Semideciduous Broadleaved Forest;170;Semideciduous forest;0;1;23.7;9.7;51;347;32.6;13.4;19.2;1513;212;58;45;0;0;200;153;0;0;0;0;Absent to Low (0-10% exposed rock);5;Sandy clay loam (60-70% sand);65;Imperfectly;65;65;Mesotrophic (25-50% TBS);37;No salinity;0
7593;CarUS006;Miami, Matthieson Hammock, semideciduous forest;United States;Florida;25°42’34”N;80°28’37”W;25.7094;-80.4769;13;7;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Lowland;(Zonal);Seasonally cold;Semideciduous;Broadleaved Forest;Subtropical Lowland Seasonally cold Semideciduous Broadleaved Forest;170;Semideciduous forest;0;1;23.7;9.4;51;337;32.2;13.7;18.5;1464;239;42;59;0;0;185;259;0;0;0;0;Absent to Low (0-10% exposed rock);5;Sandy clay loam (60-70% sand);65;Imperfectly;65;65;Mesotrophic (25-50% TBS);37;No salinity;0
7579;CarUS007;Hobe Sound, lowland pineyard;United States;Florida;27°00’49”N;80°06’39”W;27.0136;-80.1108;4;10;Caribbean;3;Subtropical Caribbean;1;Windward;Subtropical;Coastal;Sandy;Maritime;Evergreen;Needle-broadleaved Savanna;Subtropical Coastal Sandy Maritime Evergreen Needle-broadleaved Savanna;188;Savanna woodland;0;1;23.3;10.1;51;366;32.4;12.5;19.9;1421;201;62;43;0;0;185;160;0;0;0;25;Absent to Low (0-10% exposed rock);5;Sandy loam (70-80% sand);75;Imperfectly;65;63;Dystrophic (10-25% TBS);17;Slightly saline (ECe ca. 0.1-0.2 ds/m);15
